GLASNO;A_WT;SIO2;AL2O3;B2O3;CAO;K2O;NA2O;PBO;Li2O;MgO;SRO;BAO;ZNO;P2O5;GEO2;ZRO2;TIO2;TEO2;FemOn;RO20;RO100;RO150;RO300;Year;Refer_Id;Patent;SLeg;1;3;4;5;6;7;8;9;11;12;13;14;15;16;17;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;38;39;40;41;42;44;45;46;47;48;49;50;51;52;53;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;90;92
20002;23,0662;39,986;0;0;0;0;33,39666;0;0;0;0;0;0;11,31887;0;15,29847;0;0;0;6,616189;4,801398;4,01574;2,481444;1992;2;FALSE;;0;0;0;0;0;0;58,08694;0;19,34494;0;0;11,5809;6,556427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,430801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20003;22,31064;48,64486;0;0;0;0;31,43314;0;0;0;0;0;0;8,970898;0;10,9511;0;0;0;7,494059;5,453845;4,570597;2,845718;1992;2;FALSE;;0;0;0;0;0;0;58,1986;0;18,71669;0;0;14,48265;5,341671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,260384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20004;22,62433;48,24;0;0;0;0;30,6;0;0;0;0;0;0;8,57;0;12,59;0;0;0;7,924567;6,723243;6,203166;5,18752;1992;2;FALSE;;0;0;0;0;0;0;58,36724;0;18,308;0;0;14,43102;5,127438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,766303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20005;21,77461;54,49455;0;0;0;0;30,09699;0;0;0;0;0;0;7,39926;0;8,009199;0;0;0;9,220191;6,934619;5,94515;4,012837;1992;2;FALSE;;0;0;0;0;0;0;58,28277;0;18,26456;0;0;16,53216;4,490291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,430218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20001;21,77461;45,35;0;0;0;0;33,99;0;0;0;0;0;0;11,35;0;9,31;0;0;0;7,829437;5,794502;4,913539;3,193124;1992;2;FALSE;;0;0;0;0;0;0;57,92125;0;19,68153;0;0;13,1297;6,57209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,695426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20411;19,57836;74;0;13;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0;17,99985;13,92482;12,16065;8,715456;1979;33;FALSE;;0;0;0;7,97546;0;0;61,34969;0;3,680982;0;0;22,69939;0;0;0;4,294478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20399;18,87496;76;0;13;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;13,55443;10,36849;8,989239;6,295721;1979;33;FALSE;;0;0;0;7,97546;0;0;61,96319;0;6,748466;0;0;23,31288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20400;19,07261;76;0;13;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;15,20441;11,61097;10,0553;7,017266;1979;33;FALSE;;0;0;0;7,97546;0;0;61,96319;0;5,521472;0;0;23,31288;0;0;0;1,226994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20401;19,27026;76;0;13;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;17,6453;13,49618;11,69994;8,192101;1979;33;FALSE;;0;0;0;7,97546;0;0;61,96319;0;4,294478;0;0;23,31288;0;0;0;2,453988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20402;19,46791;76;0;13;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;17,96803;13,78186;11,96958;8,430424;1979;33;FALSE;;0;0;0;7,97546;0;0;61,96319;0;3,067485;0;0;23,31288;0;0;0;3,680982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
